,country,country_name,2017,2018,2019,2020,2021
0,AT,Austria,,,0.0184,0.0168,0.0297
1,BA,Bosnia and Herzegovina,,,0.0257,0.0259,0.0248
2,BE,Belgium,,,0.0189,0.0148,0.0318
3,BG,Bulgaria,,,0.0213,0.0142,0.0299
4,CZ,Czechia,,,0.0226,0.0192,0.0259
5,DE,Germany (until 1990 former territory of the FRG),,,0.0196,0.0171,0.0262
6,DK,Denmark,0.0194,0.0234,0.0178,0.0137,0.0448
7,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",0.022,0.024,0.0211,0.0175,0.0278
8,EE,Estonia,,,0.0213,0.0155,0.0352
9,EL,Greece,,,0.026,0.0165,0.0337
10,ES,Spain,,,0.0226,0.0157,0.0234
11,EU27_2020,European Union - 27 countries (from 2020),0.022,0.024,0.0213,0.0176,0.0281
12,FI,Finland,,,0.0219,0.0141,0.0342
13,FR,France,0.022,0.024,0.0223,0.0191,0.0304
14,GE,Georgia,,,0.0187,0.015,0.0158
15,HR,Croatia,,,0.0241,0.0222,0.0304
16,HU,Hungary,,,0.0199,0.0158,0.0319
17,IE,Ireland,,,0.0191,0.0142,0.025
18,IT,Italy,,,0.0237,0.0193,0.0287
19,LT,Lithuania,,,0.0177,0.0127,0.0387
20,LU,Luxembourg,,,0.0198,0.016,0.0341
21,LV,Latvia,,,0.022,0.0158,0.0248
22,MD,Moldova,,,0.0189,0.0175,0.0199
23,MK,North Macedonia,,,0.0285,0.024,0.024
24,NL,Netherlands,,,0.0195,0.0166,0.0287
25,PL,Poland,,,0.025,0.0201,0.0303
26,PT,Portugal,,,0.0239,0.0193,0.0247
27,RO,Romania,,,0.0218,0.0185,0.0265
28,RS,Serbia,,,0.0311,0.0221,0.0234
29,SE,Sweden,,,0.0185,0.018,0.0428
30,SI,Slovenia,,,0.0222,0.0193,0.0264
31,SK,Slovakia,,,0.0229,0.0207,0.0249
32,TR,Turkey,,,0.0196,0.0147,0.0175
33,UA,Ukraine,,,0.0,0.0142,
34,UK,United Kingdom,,,0.02,,
